date,brand,keywords,updated_at
2026-07-28,더한섬닷컴,"FW 신상,더한섬 신한카드,더한섬 카드,맨즈 썸머룩,비트윈 시즌즈,아울렛",2026-07-28T16:05:23
2026-07-28,신세계V,"라이프 스페셜 위크,신세계인터내셔날 공식몰,아울렛,여름 침구,웰컴쿠폰,인스타그램,테이블웨어,패션,향수전문관,홈케어 셀렉션",2026-07-28T16:05:23
2026-07-28,W컨셉,"SUMMER WEEK,W컨셉 단독,베스트 상품,시티브리즈,액티브서머위크,여름최종결산,잡화 서머위크,파쿠아LIVE",2026-07-28T16:05:23
2026-07-28,바바더닷컴,"BEST,간절기 추천템,기획전,바바ON,바바더 바캉스 위크,셀렉티드,써머클리어런스,아울렛,여름 시즌오프,지고트 베스트",2026-07-28T16:05:23
2026-07-31,더한섬닷컴,"FW 신상,더한섬 신한카드,더한섬 카드,맨즈 썸머룩,비트윈 시즌즈,아울렛",2026-07-31T12:34:21
2026-07-31,W컨셉,"SUMMER WEEK,W LIVE,W컨셉 단독,라이프서머위크,베스트 상품,여름 생존일지,여름 최종 결산,잡화 서머위크",2026-07-31T12:34:21
2026-07-31,신세계V,"백 & 슈즈,신세계인터내셔날 공식몰,아울렛,여름 주얼리,웰컴쿠폰,인스타그램,파이널 서머 클리어런스,패션,해외패션 특가,향수전문관",2026-07-31T15:01:12
2026-07-31,바바더닷컴,"바바더 바캉스 위크,여름 시즌오프,지고트 베스트,써머클리어런스,간절기 추천템,라이프템 특가,바바ON,셀렉티드,아울렛,BEST",2026-07-31T15:35:03
2026-08-03,더한섬닷컴,"더한섬 신한카드,더한섬 카드,미리보는 가을,아울렛,일상 룩북,프리미엄 스타일 플랫폼",2026-08-03T10:23:29
2026-08-03,신세계V,"백 & 슈즈,신세계인터내셔날 공식몰,아울렛,여름 주얼리,웰컴쿠폰,인스타그램,파이널 서머 클리어런스,패션,해외패션 특가,향수전문관",2026-08-03T10:23:29
2026-08-03,바바더닷컴,"BEST,JJ지고트 여름,JJ지고트여름,기획전,리오더템 모음,바바ON,셀렉티드,아울렛,원데이 특가,인플루언서 픽,틸버리 베스트",2026-08-03T10:23:29
2026-08-03,W컨셉,"W컨셉 단독,단정한 비즈니스 스타일,마뗑킴 LIVE,마뗑킴LIVE,베스트 상품,스윔웨어,아르떼미데,에디터 초이스,홈 클리어런스",2026-08-03T10:24:05
