date,brand,comment,updated_at
2026-07-28,더한섬닷컴,"그라데이션 타이포 비주얼로 'Between Seasons' 무드를 강조, FW 신상·신한카드 혜택을 함께 노출",2026-07-29T00:00:00
2026-07-28,신세계V,"선풍기·리빙 소품 이미지로 '라이프 스페셜 위크'를 전면에, 여름 침구·가전 할인을 강조",2026-07-29T00:00:00
2026-07-28,W컨셉,비치 소품 플랫레이와 오렌지 컬러로 'SUMMER WEEK 최대 85%' 할인을 강렬하게 어필,2026-07-29T00:00:00
2026-07-28,바바더닷컴,AI 생성 모델 컷과 'VACANCE WEEK' 타이포로 여름 바캉스룩·시즌오프를 강조,2026-07-29T00:00:00
2026-07-31,더한섬닷컴,"그라데이션+세리프 타이포로 'Between Seasons' 시즌 전환 무드를 강조, 남녀 스타일가이드 콘텐츠와 신한카드 혜택을 함께 노출",2026-07-31T14:06:52
2026-07-31,신세계V,수영장 배경 라이프스타일 컷과 신문 헤드라인 카피로 '파이널 서머 클리어런스' 세일 임박감을 강조,2026-07-31T14:06:52
2026-07-31,W컨셉,형광 오렌지 컬러와 튜브·선글라스 소품으로 'SUMMER WEEK 최대 85%' 할인을 강렬하게 어필,2026-07-31T14:06:52
2026-07-31,바바더닷컴,"AI 생성 모델 컷과 'VACANCE WEEK' 타이포로 여름 바캉스룩·시즌오프를 강조, 메타에서는 바바데이·IZZAT BABA 리조트 콘텐츠도 함께 운영",2026-07-31T15:35:03
2026-08-03,더한섬닷컴,"'한섬 공식몰' 브랜드 통합 메시지로 신규회원 혜택을 강조, 메타에서는 가방·맨즈 티셔츠 콘텐츠 컷을 운영",2026-08-03T10:26:48
2026-08-03,신세계V,'파이널 서머 클리어런스' 세일을 계속 전면에 내세우며 백/슈즈/맨즈 카테고리를 확장 노출,2026-08-03T10:26:48
2026-08-03,W컨셉,"'시즌 Final Call' 클리어런스(~87%)로 시즌 마감 세일을 강조, 현재 Meta 활성 광고는 없음",2026-08-03T10:26:48
2026-08-03,바바더닷컴,"'SUMMER FINALE' 타이포로 한여름 쇼핑 클라이맥스를 강조, 메타에서는 IZZAT BABA·JIGOTT 리조트 콘텐츠를 운영",2026-08-03T10:26:48
